"filename", "language", "XML", "HTML", "C#", "Markdown", "Python", "Batch", "PowerShell", "Shell Script", "Properties", "CSS", "C++", "JSON", "reStructuredText", "JavaScript", "Visual Basic", "comment", "blank", "total"
"f:\VS 2022\repos\IDE\C-Sharp.xshd", "XML", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 206
"f:\VS 2022\repos\IDE\GlobalSuppressions.cs", "C#", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 10
"f:\VS 2022\repos\IDE\Help\About.Designer.cs", "C#", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 6, 138
"f:\VS 2022\repos\IDE\Help\About.cs", "C#", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"f:\VS 2022\repos\IDE\Help\CustomSettings.Initializer.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"f:\VS 2022\repos\IDE\Help\LicenseAndCopyrights.Designer.cs", "C#", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 5, 179
"f:\VS 2022\repos\IDE\Help\LicenseAndCopyrights.Initializer.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"f:\VS 2022\repos\IDE\Help\LicenseAndCopyrights.cs", "C#", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"f:\VS 2022\repos\IDE\Help\Thanks.Designer.cs", "C#", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 7, 168
"f:\VS 2022\repos\IDE\Help\Thanks.Initializer.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\VS 2022\repos\IDE\Help\Thanks.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"f:\VS 2022\repos\IDE\IDE.csproj", "XML", 1905, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1905
"f:\VS 2022\repos\IDE\Init\Entry.Designer.cs", "C#", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 5, 151
"f:\VS 2022\repos\IDE\Init\Entry.cs", "C#", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 102
"f:\VS 2022\repos\IDE\Init\FirstBoot\FirstBootStep1.Designer.cs", "C#", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 7, 103
"f:\VS 2022\repos\IDE\Init\FirstBoot\FirstBootStep1.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 25
"f:\VS 2022\repos\IDE\Init\FirstBoot\FirstBootStep2.Designer.cs", "C#", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 7, 262
"f:\VS 2022\repos\IDE\Init\FirstBoot\FirstBootStep2.cs", "C#", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"f:\VS 2022\repos\IDE\Init\FirstBoot\FirstBootStep3.Designer.cs", "C#", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 7, 114
"f:\VS 2022\repos\IDE\Init\FirstBoot\FirstBootStep3.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"f:\VS 2022\repos\IDE\Init\FirstBoot\FirstBootStep4.Designer.cs", "C#", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 7, 118
"f:\VS 2022\repos\IDE\Init\FirstBoot\FirstBootStep4.cs", "C#", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"f:\VS 2022\repos\IDE\Init\Initializer.cs", "C#", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 51
"f:\VS 2022\repos\IDE\Main\Help.Designer.cs", "C#", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 65
"f:\VS 2022\repos\IDE\Main\Help.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"f:\VS 2022\repos\IDE\Main\Main.Designer.cs", "C#", 0, 0, 956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 311, 9, 1276
"f:\VS 2022\repos\IDE\Main\Main.Initializer.cs", "C#", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 118
"f:\VS 2022\repos\IDE\Main\Main.cs", "C#", 0, 0, 2041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 79, 2235
