[21:17:21:320] [客户端:初始化|信息] 已清除过期的日志文件！ 
[21:17:24:131] [客户端:初始化|信息] 窗口大小修改成功 (水平长度1920px, 垂直长度1020px) 
[21:17:24:132] [客户端:初始化|信息] 窗口位置：{X=192,Y=192} 
[21:17:24:133] [客户端:初始化|调试] 窗口PID：6240 
[21:17:24:135] [客户端:初始化|调试] 窗口句柄：2356 
[21:17:24:135] [客户端:初始化|信息] 主程序正在初始化... 
[21:17:24:140] [客户端:初始化|信息] 编辑器控件加载完毕。 
[21:17:24:142] [客户端:初始化|信息] 主程序初始化成功！ 
[21:17:24:144] [客户端:初始化|信息] 主程序初始化时间共计：0.01s 
[21:17:24:144] [客户端:初始化|信息] 初始化时间共计：4.79s 
[21:17:30:973] [客户端:主程序|信息] 已获取文件名: .py 
[21:17:33:220] [客户端:主程序|信息] 已询问退出，返回值：Yes 
[21:17:33:220] [客户端:主程序|信息] Stopping! 
